interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter
4.93,10.6,217.281,169900.0,177890.3320220556,78193.67547093396,81871.09412330374,79571.08012333748
5.05,10.6,217.281,174900.0,177890.3320220556,80494.84308338052,81871.09412330374,81711.07736205072
4.97,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,80525.23262077633
4.95,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,80571.27334840399
4.96,10.6,217.353,184900.0,178168.57462651766,85068.98915588927,81971.98779244715,82873.30972978697
4.99,10.6,217.353,170000.0,178168.57462651766,78213.78126825945,81971.98779244715,85175.34611116994
5.08,10.6,217.403,175000.0,178693.51262749606,80495.66933298988,82194.59373950501,85475.97711449646
5.21,10.6,217.403,169900.0,178693.51262749606,78149.7955409999,82194.59373950501,84097.33232232716
5.07,10.6,217.403,170000.0,178693.51262749606,78195.79306633303,82194.59373950501,86854.62190666575
5.07,10.6,217.403,168000.0,178693.51262749606,77275.8425596703,82194.59373950501,85016.42885044002
5.06,10.6,217.403,170500.0,178624.131294714,78425.78069299871,82162.6800433821,85475.97711449646
5.0,10.6,217.29,174900.0,178624.131294714,80491.50904321414,82205.40811575038,82597.98185597666
4.93,10.6,217.29,171000.0,178624.131294714,78696.67264945465,82205.40811575038,84892.37024086488
4.84,10.6,217.29,172900.0,178624.131294714,79571.08012333748,82205.40811575038,84892.37024086488
4.78,10.6,217.29,177550.0,178624.131294714,81711.07736205072,82205.40811575038,84892.37024086488
4.79,10.6,217.199,174900.0,178069.5495527114,80525.23262077633,81984.51629736388,84709.65525140305
4.72,10.6,217.199,175000.0,178069.5495527114,80571.27334840399,81984.51629736388,82464.7806665903
4.75,10.6,217.199,180000.0,178069.5495527114,82873.30972978697,81984.51629736388,82041.00332149811
4.69,10.6,217.199,185000.0,178069.5495527114,85175.34611116994,81984.51629736388,80558.92795785134
4.58,10.3,217.605,186000.0,176940.2680302527,85475.97711449646,81312.59301498251,82464.7806665903
4.57,10.3,217.605,183000.0,176940.2680302527,84097.33232232716,81312.59301498251,78937.15616225718
4.57,10.3,217.605,189000.0,176940.2680302527,86854.62190666575,81312.59301498251,79895.907046819
4.56,10.3,217.605,185000.0,176940.2680302527,85016.42885044002,81312.59301498251,79895.907046819
4.54,10.3,217.605,186000.0,176940.2680302527,85475.97711449646,81312.59301498251,81676.4444038624
4.49,10.3,217.923,180000.0,175999.31843742184,82597.98185597666,80762.15839421347,79003.14221959106
4.44,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,79693.97513547975
4.42,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,81287.85463818935
4.36,10.3,217.923,185000.0,175999.31843742184,84892.37024086488,80762.15839421347,81189.4480931819
4.32,10.3,218.275,184900.0,174652.84447326264,84709.65525140305,80015.04729046507,80055.51725389165
4.35,10.3,218.275,180000.0,174652.84447326264,82464.7806665903,80015.04729046507,81643.020428898
4.37,10.3,218.275,179075.0,174652.84447326264,82041.00332149811,80015.04729046507,80962.66192532385
4.37,10.3,218.275,175840.0,174652.84447326264,80558.92795785134,80015.04729046507,79375.1587503175
4.32,10.3,218.275,180000.0,173449.0269051419,82464.7806665903,79463.53311425581,76858.04319422027
4.27,9.4,219.035,172900.0,173449.0269051419,78937.15616225718,79187.81331985386,78771.35636361993
4.19,9.4,219.035,175000.0,173449.0269051419,79895.907046819,79187.81331985386,75953.8309213471
4.21,9.4,219.035,175000.0,173449.0269051419,79895.907046819,79187.81331985386,75275.6717166922
4.23,9.4,219.035,178900.0,173449.0269051419,81676.4444038624,79187.81331985386,76611.77658203318
4.24,9.4,219.59,173483.0,172214.02759934097,79003.14221959106,78425.25961990118,72105.20148897241
4.17,9.4,219.59,175000.0,172214.02759934097,79693.97513547975,78425.25961990118,75259.80405411495
4.39,9.4,219.59,178500.0,172214.02759934097,81287.85463818935,78425.25961990118,76161.11907272712
4.46,9.4,220.472,179000.0,171121.3168724921,81189.4480931819,77615.89538467111,76217.46186885217
4.61,9.4,220.472,176500.0,171121.3168724921,80055.51725389165,77615.89538467111,73975.77181388592
4.83,9.4,220.472,180000.0,171121.3168724921,81643.020428898,77615.89538467111,73975.77181388592
4.81,9.4,220.472,178500.0,171121.3168724921,80962.66192532385,77615.89538467111,73079.09579189942
4.86,9.4,220.472,175000.0,169947.60367366948,79375.1587503175,77083.53154762031,76217.46186885217
4.77,9.7,221.187,170000.0,169947.60367366948,76858.04319422027,76834.35449355951,73630.14462745379
4.71,9.7,221.187,174232.0,169947.60367366948,78771.35636361993,76834.35449355951,73630.14462745379
4.74,9.7,221.187,168000.0,169947.60367366948,75953.8309213471,76834.35449355951,74522.63122899868
4.8,9.7,221.187,166500.0,169947.60367366948,75275.6717166922,76834.35449355951,75861.36113131602
4.81,9.7,221.898,170000.0,169110.0740531543,76611.77658203318,76210.72477136085,74508.6874905474
5.05,9.7,221.898,160000.0,169110.0740531543,72105.20148897241,76210.72477136085,75155.02255277884
5.0,9.7,221.898,167000.0,169110.0740531543,75259.80405411495,76210.72477136085,76287.99943062017
4.95,9.7,221.898,169000.0,169110.0740531543,76161.11907272712,76210.72477136085,77844.89737818384
4.87,9.7,223.046,170000.0,168514.82005493992,76217.46186885217,75551.59924631687,77844.89737818384
4.88,9.7,223.046,165000.0,168514.82005493992,73975.77181388592,75551.59924631687,76491.73064775851
4.76,9.7,223.046,165000.0,168514.82005493992,73975.77181388592,75551.59924631687,78289.72536320204
4.81,9.7,223.046,163000.0,168514.82005493992,73079.09579189942,75551.59924631687,79179.38133323843
4.86,9.7,223.046,170000.0,167704.63925853602,76217.46186885217,75188.36439951221,82070.76323585669
4.87,9.2,224.093,165000.0,167704.63925853602,73630.14462745379,74837.07177758164,77641.47385700658
4.91,9.2,224.093,165000.0,167704.63925853602,73630.14462745379,74837.07177758164,78085.13942190376
4.8,9.2,224.093,167000.0,167704.63925853602,74522.63122899868,74837.07177758164,77641.47385700658
4.78,9.2,224.093,170000.0,167704.63925853602,75861.36113131602,74837.07177758164,77863.30663945517
4.71,9.2,224.806,167500.0,167083.3998023194,74508.6874905474,74323.37206405497,76070.5155988784
4.63,9.2,224.806,168953.0,167083.3998023194,75155.02255277884,74323.37206405497,77397.32691746349
4.61,9.2,224.806,171500.0,167083.3998023194,76287.99943062017,74323.37206405497,77397.32691746349
4.6,9.2,224.806,175000.0,167083.3998023194,77844.89737818384,74323.37206405497,76512.78603840676
4.55,9.2,224.806,175000.0,166629.38434618487,77844.89737818384,74121.41328353553,76346.99488519266
4.49,9.2,224.806,171958.0,166629.38434618487,76491.73064775851,74121.41328353553,72956.3939504936
4.5,9.2,224.806,176000.0,166629.38434618487,78289.72536320204,74121.41328353553,75023.05855770376
4.5,9.2,224.806,178000.0,166629.38434618487,79179.38133323843,74121.41328353553,73257.81012105191
4.51,9.2,224.806,184500.0,166216.86972150858,82070.76323585669,73937.91523425022,75146.62594826939
4.6,9.8,225.395,175000.0,166216.86972150858,77641.47385700658,73744.70140043416,72767.36493936053
4.51,9.8,225.395,176000.0,166216.86972150858,78085.13942190376,73744.70140043416,72767.36493936053
4.52,9.8,225.395,175000.0,166216.86972150858,77641.47385700658,73744.70140043416,72767.36493936053
4.55,9.8,225.395,175500.0,166216.86972150858,77863.30663945517,73744.70140043416,73649.39360529218
4.39,9.8,226.106,172000.0,165659.53044748056,76070.5155988784,73266.31334306943,72633.14976955483
4.32,9.8,226.106,175000.0,165659.53044748056,77397.32691746349,73266.31334306943,72192.94886186055
4.15,9.8,226.106,175000.0,165659.53044748056,77397.32691746349,73266.31334306943,74614.05385417904
4.22,9.8,226.106,173000.0,165659.53044748056,76512.78603840676,73266.31334306943,74816.36982171699
4.22,9.8,226.597,173000.0,165137.9794960664,76346.99488519266,72877.39003431925,72285.81613657068
4.12,9.8,226.597,165317.0,165137.9794960664,72956.3939504936,72877.39003431925,74816.36982171699
4.09,9.8,226.597,170000.0,165137.9794960664,75023.05855770376,72877.39003431925,73936.17723557915
4.09,9.8,226.597,166000.0,165137.9794960664,73257.81012105191,72877.39003431925,72615.88835637238
4.01,9.8,226.597,170280.0,164437.94130346883,75146.62594826939,72568.4547030494,70930.29380008954
3.94,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70224.1026676381
4.12,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70224.1026676381
4.11,9.4,226.75,165000.0,164437.94130346883,72767.36493936053,72519.4889982222,70180.21260347082
4.1,9.4,226.75,167000.0,164437.94130346883,73649.39360529218,72519.4889982222,70074.32257838469
4.0,9.4,227.169,165000.0,163951.1966082088,72633.14976955483,72171.46556449549,67884.49999781018
3.99,9.4,227.169,164000.0,163951.1966082088,72192.94886186055,72171.46556449549,69636.35806226979
4.0,9.4,227.169,169500.0,163951.1966082088,74614.05385417904,72171.46556449549,69855.34032032725
4.0,9.4,227.223,170000.0,163492.1919664552,74816.36982171699,71952.30763014975,72113.1783555573
3.99,9.4,227.223,164250.0,163492.1919664552,72285.81613657068,71952.30763014975,71020.55444107916
3.94,9.4,227.223,170000.0,163492.1919664552,74816.36982171699,71952.30763014975,72113.1783555573
3.91,9.4,227.223,168000.0,163492.1919664552,73936.17723557915,71952.30763014975,71457.60400687042
3.95,9.4,227.223,165000.0,163492.1919664552,72615.88835637238,71952.30763014975,74079.90140161796
3.91,8.8,227.842,161609.0,163229.10715449916,70930.29380008954,71641.3598697778,74175.23681535164
3.89,8.8,227.842,160000.0,163229.10715449916,70224.1026676381,71641.3598697778,72748.45431896223
3.88,8.8,227.842,160000.0,163229.10715449916,70224.1026676381,71641.3598697778,74175.23681535164
3.98,8.8,227.842,159900.0,163229.10715449916,70180.21260347082,71641.3598697778,75266.04912145977
3.87,8.8,228.329,160000.0,163227.2308682012,70074.32257838469,71487.73518396752,76777.4459694027
3.87,8.8,228.329,155000.0,163227.2308682012,67884.49999781018,71487.73518396752,75203.4208811917
3.87,8.8,228.329,159000.0,163227.2308682012,69636.35806226979,71487.73518396752,76515.10845470088
3.95,8.8,228.329,159500.0,163227.2308682012,69855.34032032725,71487.73518396752,76952.33764587059
3.9,8.8,228.807,165000.0,164016.10281359227,72113.1783555573,71683.16651745458,80887.40036639805
3.88,8.8,228.807,162500.0,164016.10281359227,71020.55444107916,71683.16651745458,78766.3440163834
3.92,8.8,228.807,165000.0,164016.10281359227,72113.1783555573,71683.16651745458,80735.50261679299
4.08,8.8,228.807,163500.0,164016.10281359227,71457.60400687042,71683.16651745458,80297.91181670196
3.99,8.8,228.807,169500.0,164016.10281359227,74079.90140161796,71683.16651745458,82267.07041711155
3.98,8.6,229.187,170000.0,164697.75807779745,74175.23681535164,71861.73651987131,80055.99545036965
3.88,8.6,229.187,166730.0,164697.75807779745,72748.45431896223,71861.73651987131,80055.99545036965
3.9,8.6,229.187,170000.0,164697.75807779745,74175.23681535164,71861.73651987131,80055.99545036965
3.88,8.6,229.187,172500.0,164697.75807779745,75266.04912145977,71861.73651987131,79618.53099435671
3.84,8.6,228.713,175600.0,165440.5812380169,76777.4459694027,72335.45152134636,80463.4695848085
3.83,8.6,228.713,172000.0,165440.5812380169,75203.4208811917,72335.45152134636,78285.30171626405
3.79,8.6,228.713,175000.0,165440.5812380169,76515.10845470088,72335.45152134636,79593.5942379457
3.78,8.6,228.713,176000.0,165440.5812380169,76952.33764587059,72335.45152134636,78288.78121765151
3.75,8.6,228.713,185000.0,166105.36159120844,80887.40036639805,72626.11289747783,80463.4695848085
3.67,8.6,228.524,180000.0,166105.36159120844,78766.3440163834,72686.1780781049,76185.52907819838
3.71,8.6,228.524,184500.0,166105.36159120844,80735.50261679299,72686.1780781049,77484.14605112222
3.66,8.6,228.524,183500.0,166105.36159120844,80297.91181670196,72686.1780781049,76834.83756466031
3.66,8.6,228.524,188000.0,166105.36159120844,82267.07041711155,72686.1780781049,77700.5822132762
3.62,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,76958.44377865462
3.56,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,75548.91684438649
3.53,8.6,228.59,183000.0,166612.79505998135,80055.99545036965,72887.1757557117,76412.33303689376
3.49,8.6,228.59,182000.0,166612.79505998135,79618.53099435671,72887.1757557117,75548.91684438649
3.55,8.6,229.918,185000.0,167038.07435747542,80463.4695848085,72651.15143550109,75676.00292325589
3.59,8.6,229.918,179992.0,167038.07435747542,78285.30171626405,72651.15143550109,76108.4372256745
3.62,8.6,229.918,183000.0,167038.07435747542,79593.5942379457,72651.15143550109,78270.60873776751
3.66,8.6,229.918,180000.0,167038.07435747542,78288.78121765151,72651.15143550109,79957.10251720008
3.59,8.6,229.918,185000.0,167520.45954587567,80463.4695848085,72860.95892704166,77415.11367912084
3.55,8.6,231.015,176000.0,167520.45954587567,76185.52907819838,72514.97069275833,78496.33035061693
3.55,8.6,231.015,179000.0,167520.45954587567,77484.14605112222,72514.97069275833,78928.81701921539
3.49,8.6,231.015,177500.0,167520.45954587567,76834.83756466031,72514.97069275833,80862.464914519
3.4,8.6,231.015,179500.0,167520.45954587567,77700.5822132762,72514.97069275833,77693.7055149582
3.36,8.7,231.638,178265.0,168098.8769538876,76958.44377865462,72569.64615213721,75535.54702843158
3.39,8.7,231.638,175000.0,168098.8769538876,75548.91684438649,72569.64615213721,75535.54702843158
3.37,8.7,231.638,177000.0,168098.8769538876,76412.33303689376,72569.64615213721,73377.38854190496
3.41,8.7,231.638,175000.0,168098.8769538876,75548.91684438649,72569.64615213721,75535.54702843158
3.39,8.7,231.249,175000.0,168745.4661400041,75676.00292325589,72971.32793655503,71907.85491356031
3.4,8.7,231.249,176000.0,168745.4661400041,76108.4372256745,72971.32793655503,74483.65867165799
3.34,8.7,231.249,181000.0,168745.4661400041,78270.60873776751,72971.32793655503,74054.35804530839
3.32,8.7,231.249,184900.0,169438.3454444862,79957.10251720008,73270.95271524903,77918.06368245491
3.34,8.7,231.221,179000.0,169438.3454444862,77415.11367912084,73279.82555411757,75339.45807251529
3.32,8.7,231.221,181500.0,169438.3454444862,78496.33035061693,73279.82555411757,77448.96289854574
3.37,8.7,231.221,182500.0,169438.3454444862,78928.81701921539,73279.82555411757,77492.01401744431
3.35,8.7,231.221,186971.0,169438.3454444862,80862.464914519,73279.82555411757,81151.35912382363
3.34,8.6,231.679,180000.0,170460.92347845258,77693.7055149582,73576.33772523732,78085.5662497789
3.4,8.6,231.679,175000.0,170460.92347845258,75535.54702843158,73576.33772523732,78516.97821800972
3.38,8.6,231.679,175000.0,170460.92347845258,75535.54702843158,73576.33772523732,79811.2141227022
3.42,8.6,231.679,170000.0,170460.92347845258,73377.38854190496,73576.33772523732,80364.2842659741
3.53,8.6,231.679,175000.0,171570.14143501103,75535.54702843158,74055.11135450819,83012.42383340592
3.53,8.6,232.937,167500.0,171570.14143501103,71907.85491356031,73655.16918094206,81287.49035115333
3.53,8.6,232.937,173500.0,171570.14143501103,74483.65867165799,73655.16918094206,83874.89057453221
3.56,8.6,232.937,172500.0,171570.14143501103,74054.35804530839,73655.16918094206,82365.5737775612
3.51,8.6,232.937,181500.0,173185.58680737898,77918.06368245491,74348.6808911332,86246.67411262954
3.52,8.6,232.282,175000.0,173185.58680737898,75339.45807251529,74558.3328916485,83890.81288046636
3.63,8.6,232.282,179900.0,173185.58680737898,77448.96289854574,74558.3328916485,86041.85936458087
3.54,8.6,232.282,180000.0,173185.58680737898,77492.01401744431,74558.3328916485,86041.85936458087
3.57,8.6,232.282,188500.0,173185.58680737898,81151.35912382363,74558.3328916485,90169.71756759664
3.54,8.2,231.797,181000.0,174755.62967944297,78085.5662497789,75391.67015942525,87161.87204808931
3.43,8.2,231.797,182000.0,174755.62967944297,78516.97821800972,75391.67015942525,88020.6097037355
3.41,8.2,231.797,185000.0,174755.62967944297,79811.2141227022,75391.67015942525,85873.76556462001
3.4,8.2,231.797,186282.0,174755.62967944297,80364.2842659741,75391.67015942525,87810.97937084505
3.35,8.2,231.893,192500.0,176382.9725399791,83012.42383340592,76062.2237583623,85240.90192584471
3.42,8.2,231.893,188500.0,176382.9725399791,81287.49035115333,76062.2237583623,86525.94064834487
3.51,8.2,231.893,194500.0,176382.9725399791,83874.89057453221,76062.2237583623,85669.2481666781
3.59,8.2,231.893,191000.0,176382.9725399791,82365.5737775612,76062.2237583623,86525.94064834487
3.81,8.2,231.893,200000.0,177991.12466534326,86246.67411262954,76755.71261976138,83496.0435720892
3.91,8.2,232.445,195000.0,177991.12466534326,83890.81288046636,76573.43658299523,82982.22176549173
3.98,8.2,232.445,200000.0,177991.12466534326,86041.85936458087,76573.43658299523,83496.0435720892
3.93,8.2,232.445,200000.0,177991.12466534326,86041.85936458087,76573.43658299523,83496.0435720892
4.46,8.2,232.445,209595.0,177991.12466534326,90169.71756759664,76573.43658299523,83451.37780364533
4.51,8.3,232.9,203000.0,179296.22952173985,87161.87204808931,76984.21190285093,82167.51045282002
4.37,8.3,232.9,205000.0,179296.22952173985,88020.6097037355,76984.21190285093,84735.24515447064
4.31,8.3,232.9,200000.0,179296.22952173985,85873.76556462001,76984.21190285093,83451.37780364533
4.39,8.3,233.456,205000.0,180330.04408477715,87810.97937084505,77243.69649303387,83451.37780364533
4.4,8.3,233.456,199000.0,180330.04408477715,85240.90192584471,77243.69649303387,80734.72874839812
4.4,8.3,233.456,202000.0,180330.04408477715,86525.94064834487,77243.69649303387,81589.06450234943
4.58,8.3,233.456,200000.0,180330.04408477715,85669.2481666781,77243.69649303387,83276.37761640325
